	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d
	FVHL	FVHL	FVHL	FVHR	FVHR	FVHR
	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
89	0.58762	0.32074	0.08186	0.58599	0.04021	0.07980
90	0.59545	0.32071	0.08235	0.59333	0.03949	0.07962
91	0.60288	0.31998	0.08274	0.59972	0.03884	0.07919
92	0.61010	0.31936	0.08275	0.60615	0.03806	0.07942
93	0.61715	0.31904	0.08172	0.61265	0.03713	0.07897
94	0.62468	0.31859	0.08184	0.61947	0.03758	0.07932
95	0.63277	0.31812	0.08204	0.62651	0.03726	0.07911
96	0.63993	0.31765	0.08249	0.63372	0.03666	0.07872
97	0.64740	0.31709	0.08295	0.64033	0.03624	0.07914
98	0.65468	0.31608	0.08218	0.64738	0.03511	0.07914
99	0.66223	0.31585	0.08252	0.65433	0.03471	0.07858
100	0.66904	0.31511	0.08250	0.66053	0.03455	0.07933
101	0.67650	0.31425	0.08250	0.66729	0.03374	0.07877
102	0.68392	0.31346	0.08246	0.67360	0.03266	0.07907
103	0.69044	0.31280	0.08270	0.67995	0.03160	0.07872
104	0.69798	0.31209	0.08357	0.68692	0.03162	0.07993
105	0.70491	0.31151	0.08249	0.69300	0.03103	0.07955
106	0.71147	0.31053	0.08362	0.69943	0.02930	0.07880
107	0.71893	0.31022	0.08300	0.70640	0.02928	0.07984
108	0.72617	0.30960	0.08283	0.71276	0.02855	0.07973
109	0.73349	0.30862	0.08255	0.71931	0.02820	0.07929
110	0.74090	0.30781	0.08300	0.72574	0.02743	0.07941
111	0.74778	0.30658	0.08262	0.73126	0.02683	0.08026
112	0.75499	0.30565	0.08301	0.73765	0.02538	0.07969
113	0.76186	0.30484	0.08307	0.74367	0.02501	0.08090
114	0.76896	0.30388	0.08334	0.74959	0.02412	0.07990
115	0.77608	0.30313	0.08269	0.75634	0.02328	0.07972
116	0.78293	0.30218	0.08303	0.76228	0.02237	0.07921
117	0.79012	0.30122	0.08357	0.76812	0.02123	0.07981
118	0.79667	0.30046	0.08362	0.77394	0.01953	0.07922
119	0.80321	0.29929	0.08325	0.78068	0.01941	0.08012
120	0.81012	0.29851	0.08276	0.78608	0.01844	0.07969
121	0.81724	0.29776	0.08290	0.79235	0.01733	0.07961
122	0.82390	0.29655	0.08263	0.79933	0.01740	0.08006
123	0.83107	0.29564	0.08346	0.80501	0.01530	0.07975
124	0.83772	0.29445	0.08268	0.81071	0.01447	0.07939
125	0.84409	0.29351	0.08280	0.81652	0.01440	0.08051
126	0.85154	0.29248	0.08347	0.82300	0.01302	0.08008
127	0.85671	0.29148	0.08300	0.82903	0.01156	0.07966
128	0.86403	0.29032	0.08326	0.83524	0.01090	0.08010
129	0.87008	0.28945	0.08272	0.84053	0.01047	0.08035
130	0.87666	0.28841	0.08349	0.84692	0.00920	0.08048
131	0.88277	0.28707	0.08302	0.85291	0.00805	0.08091
132	0.88961	0.28617	0.08388	0.85747	0.00653	0.07993
133	0.89582	0.28500	0.08370	0.86295	0.00642	0.08082
134	0.90162	0.28411	0.08438	0.86822	0.00497	0.08076
135	0.90707	0.28278	0.08386	0.87384	0.00427	0.08042
136	0.91304	0.28225	0.08363	0.87877	0.00300	0.08054
137	0.91927	0.28084	0.08373	0.88364	0.00204	0.08040
138	0.92466	0.27974	0.08386	0.88878	0.00147	0.08045
139	0.92992	0.27871	0.08374	0.89323	-0.00007	0.07993
140	0.93575	0.27760	0.08453	0.89761	-0.00115	0.07898
141	0.94083	0.27643	0.08416	0.90249	-0.00196	0.07997
142	0.94564	0.27566	0.08361	0.90691	-0.00265	0.08029
143	0.95047	0.27452	0.08366	0.91094	-0.00341	0.08038
144	0.95498	0.27382	0.08391	0.91556	-0.00413	0.08044
145	0.95964	0.27324	0.08431	0.91959	-0.00438	0.08079
146	0.96381	0.27203	0.08378	0.92366	-0.00581	0.08089
147	0.96807	0.27106	0.08386	0.92623	-0.00706	0.08068
148	0.97265	0.26973	0.08384	0.92997	-0.00785	0.08014
149	0.97648	0.26894	0.08473	0.93339	-0.00863	0.08083
150	0.98018	0.26786	0.08427	0.93567	-0.00941	0.08055
151	0.98378	0.26688	0.08466	0.93837	-0.01008	0.08079
152	0.98758	0.26589	0.08482	0.94111	-0.01071	0.08130
153	0.99055	0.26545	0.08476	0.94320	-0.01167	0.08033
154	0.99394	0.26434	0.08435	0.94562	-0.01234	0.08064
155	0.99610	0.26327	0.08411	0.94758	-0.01262	0.08066
156	0.99853	0.26300	0.08447	0.94920	-0.01344	0.08040
157	1.00071	0.26232	0.08443	0.95098	-0.01448	0.07990
158	1.00264	0.26167	0.08417	0.95306	-0.01469	0.08072
159	1.00480	0.26124	0.08407	0.95427	-0.01486	0.08080
160	1.00573	0.26116	0.08423	0.95540	-0.01565	0.08014
161	1.00743	0.26104	0.08422	0.95626	-0.01590	0.07981
162	1.00881	0.26084	0.08406	0.95767	-0.01582	0.08025
163	1.00900	0.26053	0.08427	0.95870	-0.01550	0.08087
164	1.00968	0.26051	0.08440	0.96017	-0.01592	0.08116
165	1.01053	0.26014	0.08432	0.96095	-0.01617	0.08126
166	1.01139	0.25994	0.08431	0.96136	-0.01605	0.08143
167	1.01191	0.25982	0.08444	0.96161	-0.01638	0.08144
168	1.01258	0.25960	0.08420	0.96172	-0.01648	0.08137
169	1.01294	0.25934	0.08418	0.96168	-0.01643	0.08148
170	1.01339	0.25932	0.08428	0.96176	-0.01644	0.08146
171	1.01417	0.25921	0.08439	0.96166	-0.01674	0.08129
172	1.01449	0.25880	0.08420	0.96148	-0.01694	0.08130
173	1.01449	0.25878	0.08419	0.96167	-0.01675	0.08124
174	1.01414	0.25916	0.08446	0.96169	-0.01661	0.08134
175	1.01356	0.25913	0.08431	0.96154	-0.01672	0.08108
176	1.01297	0.25928	0.08435	0.96136	-0.01667	0.08090
177	1.01291	0.25936	0.08423	0.96134	-0.01659	0.08089
178	1.01257	0.25954	0.08432	0.96190	-0.01649	0.08128
179	1.01226	0.25959	0.08436	0.96193	-0.01644	0.08128
180	1.01195	0.25986	0.08452	0.96201	-0.01619	0.08142
181	1.01167	0.26011	0.08449	0.96195	-0.01628	0.08122
182	1.01134	0.26023	0.08440	0.96199	-0.01624	0.08128
183	1.01089	0.26041	0.08429	0.96199	-0.01619	0.08121
184	1.01043	0.26065	0.08435	0.96173	-0.01596	0.08074
185	1.01026	0.26053	0.08396	0.96165	-0.01591	0.08072
186	1.00980	0.26090	0.08443	0.96167	-0.01585	0.08068
187	1.00952	0.26065	0.08381	0.96169	-0.01591	0.08067
188	1.00938	0.26127	0.08444	0.96157	-0.01572	0.08026
189	1.00892	0.26136	0.08404	0.96164	-0.01561	0.08020
190	1.00892	0.26136	0.08395	0.96187	-0.01569	0.08038
191	1.00854	0.26157	0.08389	0.96191	-0.01560	0.08035
192	1.00894	0.26163	0.08399	0.96234	-0.01550	0.08017
193	1.00886	0.26172	0.08400	0.96253	-0.01535	0.08020
194	1.00850	0.26183	0.08389	0.96270	-0.01547	0.08009
195	1.00838	0.26211	0.08393	0.96319	-0.01511	0.08044
196	1.00827	0.26220	0.08396	0.96312	-0.01530	0.08025
197	1.00827	0.26230	0.08395	0.96339	-0.01523	0.08034
198	1.00820	0.26236	0.08385	0.96371	-0.01497	0.08040
199	1.00813	0.26250	0.08383	0.96384	-0.01497	0.08041
200	1.00823	0.26250	0.08386	0.96387	-0.01510	0.08037
201	1.00825	0.26256	0.08383	0.96394	-0.01511	0.08034
202	1.00833	0.26262	0.08377	0.96413	-0.01508	0.07985
203	1.00842	0.26270	0.08367	0.96423	-0.01507	0.08025
204	1.00851	0.26269	0.08356	0.96452	-0.01508	0.08007
205	1.00868	0.26284	0.08369	0.96470	-0.01515	0.07990
206	1.00873	0.26280	0.08369	0.96458	-0.01492	0.08014
207	1.00878	0.26279	0.08368	0.96523	-0.01517	0.08004
208	1.00867	0.26295	0.08378	0.96570	-0.01522	0.08006
209	1.00886	0.26300	0.08390	0.96599	-0.01525	0.08000
210	1.00896	0.26300	0.08394	0.96620	-0.01506	0.07991
211	1.00936	0.26304	0.08409	0.96661	-0.01495	0.08002
212	1.00952	0.26298	0.08404	0.96701	-0.01491	0.08000
213	1.01027	0.26276	0.08392	0.96745	-0.01498	0.07982
214	1.01057	0.26293	0.08380	0.96806	-0.01495	0.07975
215	1.01077	0.26290	0.08364	0.96825	-0.01507	0.07993
216	1.01151	0.26240	0.08361	0.96926	-0.01518	0.08022
217	1.01206	0.26259	0.08371	0.97028	-0.01516	0.08043
218	1.01257	0.26278	0.08377	0.97075	-0.01529	0.08039
219	1.01280	0.26238	0.08335	0.97094	-0.01548	0.08010
220	1.01309	0.26237	0.08341	0.97137	-0.01560	0.08004
221	1.01363	0.26238	0.08356	0.97234	-0.01562	0.08029
222	1.01426	0.26246	0.08351	0.97266	-0.01571	0.08026
223	1.01528	0.26214	0.08364	0.97334	-0.01550	0.08003
224	1.01632	0.26180	0.08369	0.97382	-0.01552	0.08012
225	1.01705	0.26192	0.08372	0.97416	-0.01579	0.08001
226	1.01756	0.26181	0.08351	0.97490	-0.01600	0.08008
227	1.01814	0.26169	0.08354	0.97539	-0.01620	0.08009
228	1.01856	0.26161	0.08360	0.97592	-0.01659	0.08006
229	1.01940	0.26149	0.08378	0.97675	-0.01683	0.07983
230	1.02007	0.26111	0.08331	0.97748	-0.01688	0.07984
231	1.02089	0.26142	0.08396	0.97820	-0.01709	0.08001
232	1.02145	0.26117	0.08398	0.97889	-0.01728	0.07986
233	1.02211	0.26071	0.08366	0.97941	-0.01723	0.08021
234	1.02265	0.26028	0.08359	0.97956	-0.01722	0.08022
235	1.02305	0.26017	0.08352	0.98011	-0.01702	0.08090
236	1.02339	0.25985	0.08325	0.98009	-0.01707	0.08068
237	1.02362	0.25979	0.08331	0.98008	-0.01704	0.08061
238	1.02374	0.25976	0.08328	0.98008	-0.01704	0.08062
239	1.02366	0.25981	0.08332	0.97999	-0.01711	0.08055
240	1.02361	0.25985	0.08340	0.98008	-0.01704	0.08062
241	1.02342	0.26017	0.08364	0.98022	-0.01706	0.08085
242	1.02324	0.26001	0.08343	0.98009	-0.01724	0.08045
243	1.02319	0.26027	0.08362	0.98005	-0.01709	0.08076
244	1.02308	0.26027	0.08362	0.97989	-0.01734	0.08043
245	1.02299	0.26029	0.08359	0.98023	-0.01713	0.08057
246	1.02310	0.26032	0.08361	0.98012	-0.01725	0.08049
247	1.02324	0.26031	0.08357	0.98051	-0.01695	0.08053
248	1.02330	0.26025	0.08355	0.98057	-0.01725	0.08033
249	1.02337	0.26027	0.08355	0.98051	-0.01724	0.08021
250	1.02338	0.26027	0.08353	0.98101	-0.01728	0.08037
251	1.02348	0.26027	0.08352	0.98100	-0.01725	0.08018
252	1.02361	0.26036	0.08356	0.98113	-0.01724	0.08019
253	1.02360	0.26018	0.08344	0.98133	-0.01720	0.08033
254	1.02352	0.26032	0.08354	0.98135	-0.01717	0.08029
255	1.02365	0.26046	0.08361	0.98144	-0.01721	0.08030
256	1.02366	0.26051	0.08358	0.98163	-0.01721	0.08004
257	1.02342	0.26079	0.08383	0.98193	-0.01715	0.08031
258	1.02366	0.26035	0.08344	0.98195	-0.01714	0.08028
259	1.02368	0.26036	0.08343	0.98207	-0.01706	0.08012
260	1.02375	0.26038	0.08338	0.98217	-0.01704	0.08012
261	1.02385	0.26039	0.08336	0.98229	-0.01711	0.08009
262	1.02389	0.26065	0.08357	0.98223	-0.01709	0.08012
263	1.02386	0.26084	0.08373	0.98241	-0.01702	0.08008
264	1.02392	0.26077	0.08365	0.98267	-0.01700	0.08021
265	1.02393	0.26077	0.08369	0.98258	-0.01708	0.08015
266	1.02415	0.26066	0.08359	0.98278	-0.01654	0.08057
267	1.02415	0.26081	0.08376	0.98264	-0.01694	0.08022
268	1.02422	0.26065	0.08359	0.98255	-0.01705	0.08015
269	1.02424	0.26038	0.08341	0.98244	-0.01701	0.08013
270	1.02422	0.26041	0.08342	0.98266	-0.01698	0.08026
271	1.02419	0.26065	0.08354	0.98251	-0.01704	0.08018
272	1.02440	0.26043	0.08333	0.98255	-0.01705	0.08017
273	1.02428	0.26042	0.08342	0.98297	-0.01680	0.08046
274	1.02459	0.26036	0.08346	0.98284	-0.01671	0.08042
275	1.02438	0.26041	0.08341	0.98288	-0.01674	0.08048
276	1.02459	0.26033	0.08352	0.98292	-0.01680	0.08047
277	1.02433	0.26076	0.08363	0.98289	-0.01683	0.08061
